Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
C & H Gravel Co,Peoria Rd and Dirksen Pkwy,39.8593,-89.6131,212321,PM2.5 Primary (Filt + Cond,,0,2011
Grundy County Redi-mix Co,385 Roosevelt St,41.3787,-88.4199,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.178540086,2011
Precision Chrome Inc,105 Precision Rd,42.3887,-88.1741,332813,PM2.5 Primary (Filt + Cond,,0.04,2011
ADM Grain Co,Rte 150 E,40.2323,-88.5928,424510,PM2.5 Primary (Filt + Cond,,0.0689979,2011
Total Grain Marketing LLC,401 E Madison St,39.2752,-88.2391,424510,PM2.5 Primary (Filt + Cond,,0.214564413,2011
GORDON BROWN,Unknown,40.7013,-89.8824,48811,PM2.5 Primary (Filt + Cond,Airport,0.00750551,2011
Bolingbrook McCauley Funeral Chapel & Crematorium,530 W Boughton Rd,41.7077,-88.0894,812210,PM2.5 Primary (Filt + Cond,Crematory - Human,1.15,2011
Northern Illinois Service Co,6820 Swanson Rd,42.3885,-88.9835,212312,PM2.5 Primary (Filt + Cond,,0.002184,2011
Alliance Grain Co,305 E Main,40.9963,-88.2043,424510,PM2.5 Primary (Filt + Cond,,0.1582271897,2011
Cissna Park Co-op Inc,105 N Main St,40.4645,-87.8955,424510,PM2.5 Primary (Filt + Cond,,0.51018746,2011
CW 600 W Chicago LLC,600 W Chicago Ave Ste 675,41.898,-87.6441,531120,PM2.5 Primary (Filt + Cond,,0.02,2011
Vulcan Construction Materials LLC,841 Skokie Hwy,42.2845,-87.8708,212399,PM2.5 Primary (Filt + Cond,,0.05320207,2011
Daubert Chemical Co,4700 S Central Ave,41.8082,-87.7637,325520,PM2.5 Primary (Filt + Cond,Chemical Plant,0.666809,2011
Lemfco Inc,100 S Commerce St,42.4153,-90.4279,331511,PM2.5 Primary (Filt + Cond,"Foundries, Iron and Steel",1.5699818,2011
LAMBERT,Unknown,38.0857,-89.4604,48811,PM2.5 Primary (Filt + Cond,Airport,0.00702534,2011
Bunge Milling Inc,16794 N 240 E Rd,40.1125,-87.9029,424510,PM2.5 Primary (Filt + Cond,,0.4642693,2011
St. Mary s Hospital,1800 E Lakeshore Dr,39.8268,-88.9312,48811,PM2.5 Primary (Filt + Cond,Airport,0.00532424,2011
Bridgestone Americas Tire Operations,1600 Fort Jesse Rd,40.52,-88.9554,326211,PM2.5 Primary (Filt + Cond,"Plastic, Resin, Syn Fiber or Rubber Products Plant",1.103,2011
Alcatel - Lucent USA,2000 Lucent Ln,41.8133,-88.119,541712,PM2.5 Primary (Filt + Cond,,0.3,2011
OLSON,Unknown,42.0084,-88.4581,48811,PM2.5 Primary (Filt + Cond,Airport,0.0460465,2011
Premier Coop,300 E 520 N,39.9539,-88.4058,424510,PM2.5 Primary (Filt + Cond,,0.027732508,2011
Danville Metal Stamping Co,1100 Martin St,40.1421,-87.6137,336412,PM2.5 Primary (Filt + Cond,,0.0290323,2011
VCNA Prairie Illinois Inc,Rte 150 & Monroe St,40.2497,-88.6388,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.0034735303,2011
