"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/17/2017","AQS","170191001","2","0.7","ppb","0","ISWS CLIMATE STATION","22","92.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/18/2017","AQS","170191001","2","0.7","ppb","0","ISWS CLIMATE STATION","20","83.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/19/2017","AQS","170191001","2","1","ppb","1","ISWS CLIMATE STATION","18","75.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/20/2017","AQS","170191001","2","1.1","ppb","1","ISWS CLIMATE STATION","20","83.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/21/2017","AQS","170191001","2","0.4","ppb","0","ISWS CLIMATE STATION","18","75.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/22/2017","AQS","170191001","2","0.7","ppb","0","ISWS CLIMATE STATION","23","96.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/23/2017","AQS","170191001","2","0.8","ppb","0","ISWS CLIMATE STATION","22","92.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/24/2017","AQS","170191001","2","0.7","ppb","0","ISWS CLIMATE STATION","22","92.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/25/2017","AQS","170191001","2","1.8","ppb","1","ISWS CLIMATE STATION","21","88.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/26/2017","AQS","170191001","2","1.1","ppb","1","ISWS CLIMATE STATION","24","100.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/27/2017","AQS","170191001","2","0.5","ppb","0","ISWS CLIMATE STATION","22","92.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/28/2017","AQS","170191001","2","0.5","ppb","0","ISWS CLIMATE STATION","21","88.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/29/2017","AQS","170191001","2","0.2","ppb","0","ISWS CLIMATE STATION","22","92.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/30/2017","AQS","170191001","2","0.4","ppb","0","ISWS CLIMATE STATION","24","100.0000","42401","Sulfur dioxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
