Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
05/29/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/30/2017,AQS,171430024,1,0.047,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
05/31/2017,AQS,171430024,1,0.051,ppm,47,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/01/2017,AQS,171430024,1,0.058,ppm,61,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/02/2017,AQS,171430024,1,0.071,ppm,101,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/03/2017,AQS,171430024,1,0.062,ppm,74,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/04/2017,AQS,171430024,1,0.056,ppm,54,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/05/2017,AQS,171430024,1,0.072,ppm,105,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/06/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/07/2017,AQS,171430024,1,0.051,ppm,47,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/08/2017,AQS,171430024,1,0.061,ppm,71,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/09/2017,AQS,171430024,1,0.065,ppm,84,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/10/2017,AQS,171430024,1,0.071,ppm,101,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/11/2017,AQS,171430024,1,0.061,ppm,71,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/12/2017,AQS,171430024,1,0.053,ppm,49,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/13/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/14/2017,AQS,171430024,1,0.04,ppm,37,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
06/15/2017,AQS,171430024,1,0.065,ppm,84,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
